id, name,act,debut_date,disband_date,sales_circle, views, circle_streaming_score, billboard global, music_show_awards, yearly_awards, paks
1,100%,group,2012-09-18,2021,103148,17260269,99,0,0,0,0
2,24K+,group,2012-09-06,,0,40419274,0,0,0,0,0
3,2AM,group,2008-06-21,,257939,53778162,13092,0,10,7,0
4,2NE1,group,2009-05-06,2017-01,690868,1795832416,22391,0,43,24,2
5,2PM,group,2008-07-04,,969382,558147812,7971,0,41,11,0
6,2YOON,group,2013-01-16,2016-06,5895,2986241,588,0,0,0,0
7,4Minute,group,2009-06-15,2016-06,205088,831129171,10889,0,23,7,0
8,F-ve dolls,group,2011-01-20,2014-11,2384,8223140,148,0,0,0,0
9,9Muses,group,2010-08-12,2019-02,55301,115643567,2998,0,0,0,0
10,9Muses A,group,2016-08-03,2019-02,8484,4522733,102,0,0,0,0
11,After School,group,2009-01-15,2019,138457,147021172,4952,0,3,1,0
12,Agust D,solo,2016-08-16,,1358066,1024954152,832,6,0,1,0
13,Ailee,solo,2012-02-08,,41838,515565435,22016,0,11,17,1
14,Akmu,group,2014-04-06,,95174,695897096,55798,8,24,12,2
15,Amber,solo,2015-09-17,,15099,77576765,353,0,0,0,0
16,AOA,group,2012-07-30,2020-07,223475,897701221,10303,0,10,3,0
17,AOA CREAM,group,2016-02-12,2021,0,43455469,258,0,0,0,0
18,Apink,group,2011-04-19,,829855,1018698517,15907,0,52,14,0
19,April,group,2015-08-24,2022-01,77381,102503920,332,0,0,0,0
20,ASTRO,group,2016-02-23,,1844780,597830764,272,0,13,2,0
22,B.A.P,group,2012-01-27,2019-02,911467,304233041,2789,0,8,4,0
23,B1A4,group,2011-04-23,,907028,238765961,5301,0,17,8,0
24,Baek A Yeon,solo,2012-09-09,,3913,91268038,7504,0,4,2,0
25,Baekhyun,solo,2019-07-10,,4923674,487963957,5435,0,8,7,0
27,BESTie,group,2013-07-11,2018-10,8581,56911141,205,0,0,1,0
28,BIGBANG,group,2006-08-19,2023,3514210,4745923189,39678,4,84,46,7
29,BIGBANG + 2NE1,group,,,0,111530420,0,0,0,0,0
30,Bigstar,group,2012-07-12,2019-07,3664,6889588,63,0,0,0,0
31,Blackpink,group,2016-08-08,,6305622,21638732345,38817,175,70,26,3
32,Block B,group,2011-04-13,,418220,359313720,9505,0,8,1,0
33,BoA,solo,2000-08-25,,2248419,369144159,5501,0,6,13,0
34,Boyfriend,group,2011-05-26,,261986,181958321,866,0,2,2,0
35,Boys Republic,group,2013-06-03,2018-10,10361,13609566,0,0,0,0,0
36,BB GIRLS,group,2011-04-08,,154368,275354439,10929,0,10,3,1
37,Brown Eyed Girls,group,2006-03-02,,252881,201901775,6007,0,12,9,0
38,BTOB,group,2012-03-21,,1189542,667457068,13631,0,17,7,0
39,BTOB Blue,group,2016-09-18,,0,13439846,205,0,0,0,0
