Name,Debut,Company,Active
(G)I-DLE,2018-05-02,Cube,Yes
15&,2012-10-05,JYP,No
2EYES,2013-07-20,SidusHQ,No
2NE1,2009-05-06,YG,No
3YE,2019-05-21,GH,Yes
4Minute,2009-06-15,Cube,No
4TEN,2014-08-26,Jungle,No
9Muses,2010-08-12,Star Empire,No
A.DE,2016-07-23,2ABLE,No
ABRY,2017-11-15,withHC,Yes
ADYA,2023-05-09,Starting House,Yes
aespa,2020-11-17,SM,Yes
After School,2009-01-15,Pledis,No
AiRiSu,2018-07-25,Jang,No
ALICE,2017-07-01,IOK Company,Yes
ANS,2019-09-16,ANS,No
AOA,2012-07-30,FNC,Yes
API,2019-04-19,BRICKWORKS,Yes
Apink,2011-04-19,Plan A,Yes
Apple.B,2017-08-01,GH,No
April,2015-08-24,DSP,No
AREAL,2020-08-21,JZ Factory,No
Ariaz,2019-10-23,Rising Star,No
ARTBEAT v,2022-11-16,AB Creative,Yes
Baby V.O.X,1997-07-05,DR Music,No
BABYMONSTER,2023-11-27,YG,Yes
Badkiz,2014-03-24,Zoo,No
Berry Good,2014-05-21,Asia Bridge,No
BESTie,2013-07-11,YNB,No
Billlie,2021-11-10,MYSTIC,Yes
BLACKPINK,2016-08-08,YG,Yes
BlackSwan,2020-10-16,DR,Yes
Blady,2011-05-16,Star Planet,No
Blastar,2020-07-31,VH,No
Bling Bling,2020-11-17,Major9,Yes
Bloomy,2016-02-01,DS,Yes
Bob Girls,2014-06-10,Chrome,No
Bolbbalgan4,2016-04-22,Shofar,Yes
Bonus Baby,2017-01-01,Maroo,No
BOTOPASS,2020-08-26,WKS ENE,Yes
Brave Girls,2011-04-08,Brave,Yes
Brown Eyed Girls,2006-03-02,Mystic,Yes
bugAboo,2021-10-25,A team,No
Bulldok,2016-10-20,Kconic,No
Bunny.T,2023-06-19,W2,Yes
Busters,2017-11-27,JTG,Yes
BVNDIT,2019-04-10,MNH,Yes
C-REAL,2011-10-11,NAP,No
Camila,2018-08-29,Camila,No
Cherry Bullet,2019-01-21,FNC,Yes
Cherry On Top,2018-08-09,United,No
ChoColat,2011-08-16,Paramount,No
cignature,2020-02-04,C9,Yes
CLASS:y,2022-05-05,Universal,Yes
CLC,2015-03-19,Cube,Hiatus
CoCoSoRi,2016-01-05,MOLE,No
CRAXY,2020-03-03,SAITEINMENT,Yes
Crayon Pop,2012-07-18,Chrome,No
CSR,2022-07-27,A2Z,Yes
D-Unit,2012-08-01,D-Business,No
D.Holic,2014-10-29,H.Mate,No
Dal Shabet,2011-01-03,Happy Face,Hiatus
Davichi,2008-02-04,CJ E&M,Yes
