Stage Name,Full Name,Date of Birth,Group,Country
A-ra,Choi Eunji,2003-07-25,Girls' World,South Korea
Aeji,Kwon Aeji,1999-10-25,Hashtag,South Korea
AhIn,Lee Ahin,1999-09-27,MOMOLAND,South Korea
Ahra,Go Ahra,2001-02-21,Favorite,South Korea
Ahyeon,Jung Ahyeon,2007-04-11,BABYMONSTER,South Korea
Ahyoon,Choi Subin,2004-10-23,BOTOPASS,South Korea
Ahyoon,Shin Ahyoon,2003-09-24,Queenz Eye,South Korea
Ahyoung,Cho Jayoung,1991-05-26,Dal Shabet,South Korea
Ahyung,Kang Ahyoung,1996-08-27,P.O.P,South Korea
Ailee,Lee Yejin,1989-05-30,,South Korea
Aini,Kim Heejung,1991-07-13,,South Korea
Aisha,Heo Yoorim,2000-07-21,Everglow,South Korea
Aki,Jang Minju,2001-02-12,MAJORS,South Korea
AleXa,Kim Seri,1996-12-06,,USA
Alice,Song Joohee,1990-03-21,Hello Venus,South Korea
Alice,Cheon Jaeyoung,2002-02-20,TRACER,South Korea
Amber,Amber Josephine Liu,1992-09-18,f(x),USA
Andamiro,Yeon Seongju,2003-05-06,Geenius,South Korea
Anne,Lee Seoyoung,2000-10-17,GWSN,South Korea
Ara,Lee Yunji,2002-01-23,ILY:1,South Korea
Aran,Jeong Eunah,2004-10-11,FIFTY FIFTY,South Korea
Arang,Son Mnjung,2000-03-08,,South Korea
Arang,Park Yerim,2001-01-22,Pink Fantasy,South Korea
Areum,Kim Daun,1998-01-31,AREAL,South Korea
Ari,Kim Sunyoung,1994-10-23,Tahiti,South Korea
Aria,Baby Gauthami,2003-03-12,X:IN,India
Arie,Jeon Minjae,2000-04-07,MIXX,South Korea
Arin,Choi Yewon,1999-06-18,Oh My Girl,South Korea
Asa,Enami Asa,2006-04-17,BABYMONSTER,Japan
Ashley,Ashley Choi,1991-11-09,Ladies' Code,South Korea
Aurora,Yang Lan,1997-01-14,NATURE,China
Ayamy,Suzuki Ayami,2000-07-15,Bling Bling,Japan
Ayeon,Son Minji,2002-09-29,Saturday,South Korea
Babysoul,Lee Soojung,1992-07-06,Lovelyz,South Korea
Bada,Kim Bada,2002-05-28,Hinapia,South Korea
Bae,Bae Jinsol,2004-12-28,NMIXX,South Korea
Baekah,Kim Sua,1999-10-24,XUM,South Korea
Bahiyyih,Huening Bahiyyih,2004-07-27,Kep1er,USA
Bekah,Rebecca Kim,1989-08-11,,South Korea
Belle,Jin Hyeonjoo,2001-11-03,Cignature,South Korea
Belle,Shim Hyewon,2004-03-20,KISS OF LIFE,South Korea
Bessie,Kim Susanna,2004-07-15,Lapillus,South Korea
Bian,Yu Jiwon,2001-02-13,MAJORS,South Korea
BIBI,Kim Hyungseo,1998-09-27,,South Korea
Blue,Jung Gahee,1994-01-18,Pungdeng-E,South Korea
BoA,Kwon Boa,1986-11-05,,South Korea
Boa,Kim Boah,1987-01-14,KEEMBO,South Korea
Boeun,Park Boeun,2008-02-11,CLASS:y,South Korea
Bohyung,Kim Bohyung,1991-03-31,KEEMBO,South Korea
Bom,Park Bom,1984-03-24,2NE1,South Korea
Bomi,Yoon Bomi,1993-08-13,Apink,South Korea
Bomin,Kim Bomin,2001-09-24,RedSquare,South Korea
Bona,Kim Jiyeon,1995-08-19,WJSN,South Korea
Boni,Choi Euijeong,1999-10-30,Dreamnote,South Korea
Bora,Yoon Bora,1989-12-30,SISTAR,South Korea
Bora,Kim Bora,1999-03-03,Cherry Bullet,South Korea
Boram,Jeon Boram,1986-03-22,,South Korea
Cao Lu,Cao Lu,1987-08-30,Fiestar,China
Carmen,Nyoman Ayu Carmenita,2006-03-28,Hearts2Hearts,Indonesia
Chaebin,Choi Yoobin,1999-07-28,NATURE,South Korea
Chaeeun,Yoon Chaeeun,2005-12-10,ADYA,South Korea
Chaehyun,Kim Chaehyun,1999-11-29,Bonus Baby,South Korea
Chaehyun,Kim Chaehyun,2002-04-26,Kep1er,South Korea
Chaein,Lee Chaeyoung,2002-12-05,Purple Kiss,South Korea
Chaejeong,Lee Chaejeong,1999-08-26,ALICE,South Korea
Chaekyung,Yoon Chaekyung,1996-07-07,APRIL,South Korea
Chaelin,Lee Chaelin,1999-10-20,FANATICS,South Korea
Chaerin,Park Chaerin,2002-03-13,Cherry Bullet,South Korea
Chaerin,Park Chaerin,2003-03-31,ICHILLIN',South Korea
Chaerin,Lee Chaerin,2007-07-07,KELT9b,South Korea
Chaeryeong,Lee Chaeryeong,2001-06-05,ITZY,South Korea
Chaesol,Maeng Chaesol,1998-07-14,Cignature,South Korea
Chaewon,Kim Chaewon,1997-11-08,APRIL,South Korea
Chaewon,Kim Chaewon,2000-08-01,LE SSERAFIM,South Korea
Chaewon,Lee Chaewon,2000-03-18,Maka Maka,South Korea
Chaewon,Yoon Chaewon,2003-06-04,CLASS:y,South Korea
ChaeY,Song Chaeyeon,2003-01-06,CRAXY,South Korea
Chaeyeon,Jung Chaeyeon,1997-12-01,DIA,South Korea
Chaeyeon,Kim Chaeyeon,2004-12-04,tripleS,South Korea
Chaeyeon,Lee Chaeyeon,2000-01-11,IZ*ONE,South Korea
Chaeyoung,Son Chaeyoung,1999-04-23,Twice,South Korea
Chaeyoung,Lee Chaeyoung,2000-05-14,fromis_9,South Korea
Chahee,Park Sooyoung,1996-03-24,MELODYDAY,South Korea
Chanmi,Kim Chanmi,1996-06-19,AoA,South Korea
Chanty,Maria Chantal Videla,2002-12-15,Lapillus,Philippines
Cheng Xiao,Cheng Xiao,1998-07-15,,China
Cheongeum,Jang Cheongeum,1996-06-19,Ho1iday,South Korea
Chi.u,Lee Jaeyi,1998-08-16,,South Korea
Chiayi,Li Chiayi,2000-01-22,FANATICS,Taiwan
Chiquita,Riracha Phondechaphiphat,2009-02-17,BABYMONSTER,Thailand
Chloe,Yun Jiwon,2001-01-06,Cignature,South Korea
Chloe Young,Chloe Duong,2001-10-31,BADVILLAIN,South Korea
Choa,Park Choa,1990-03-06,,South Korea
Choa,Heo Minjin,1990-07-12,Crayon Pop,South Korea
Choerry,Choi Yerim,2001-06-04,ARTMS,South Korea
Chorong,Park Chorong,1991-03-03,Apink,South Korea
Chowon,Han Chowon,2002-09-16,LIGHTSUM,South Korea
Chowon,Kim Chowon,2005-08-18,ICHILLIN',South Korea
Choyeon,Kim Choyeon,2001-08-01,bugAboo,South Korea
Chungha,Kim Chungha,1996-02-09,,South Korea
Chuu,Kim Jiwoo,1999-10-20,,South Korea
CL,Lee Chaerin,1991-02-26,2NE1,South Korea
Cyan,Lee Chaeeun,2001-04-04,bugAboo,South Korea
D.ana,Cho Eunae,1995-09-10,Sonamoo,South Korea
Dabi,Park Jiwon,2000-01-19,AREAL,South Korea
Daeun,Jung Daeun,1994-06-03,2EYES,South Korea
Daewang Nim,Daewang Nim,1996-04-08,Pink Fantasy,South Korea
Dahye,Song Dahye,1993-06-12,,South Korea
Dahyun,Kim Dahyun,1998-05-28,Twice,South Korea
Dahyun,Jeong Dahyun,2005-04-29,Rocket Punch,South Korea
Dahyun,Seo Dahyun,2003-01-08,tripleS,South Korea
Dahyun,Kim Dahyun,,Hearts2Hearts,South Korea
Dain,Song Jieun,1990-06-25,,South Korea
Dain,Jung Dain,2004-12-15,HOT ISSUE,South Korea
Daisy,Yoo Jeongahn,1999-01-22,,South Korea
Dajeong,Kim Dajeong,1995-08-08,Hashtag,South Korea
Dajeong,Jung Dajeong,2003-07-31,Pixy,South Korea
Dakyung,Jung Dakyung,2001-07-23,Hi-L,South Korea
Dalyn,Lee Sohyun,1999-08-27,ANS,South Korea
Damhee,Park Damhee,2000-06-21,ARTBEAT,South Korea
Dami,Lee Yoobin,1997-03-07,Dreamcatcher,South Korea
Dami,Hong Dayoung,2001-06-07,ANS,South Korea
Damin,Kang Damin,2004-03-24,Queenz Eye,South Korea
Dan-a,Park Seungyeon,1993-06-26,Matilda,South Korea
