group_name,debut_date,company,active
100%,2012-09-18,TOP Media,Yes
14U,2017-04-17,BG,No
1TEAM,2019-03-27,LiveWorks,No
1the9,2019-02-09,MBK,Yes
24K,2012-09-06,Choeun,Yes
2:00 AM,2008-06-21,"JYP, Big Hit",No
2:00 PM,2008-07-04,JYP,Yes
2Z,2020-01-14,Morph,Yes
8Eight,2007-09-06,Big Hit,No
8TURN,2023-01-30,MNH,Yes
A-JAX,2012-06-01,DSP,No
A.C.E,2017-05-23,Beat,Yes
A.cian,2012-10-10,Wings,No
A6P,2015-05-20,DS,No
AB6IX,2019-05-22,Brand New,Yes
ABLUE,2022-10-23,J-Star,Yes
AIMERS,2022-11-17,Hyper Rhythm,Yes
AlphaBat,2013-11-14,Simtong,Yes
AMPERS&ONE,2023-11-15,FNC,Yes
ANTARES,2023-04-16,J-Star,Yes
ARGON,2019-03-11,MSH,Yes
ASTRO,2016-02-23,Fantagio,Yes
ATBO,2022-07-27,IST,Yes
ATEEZ,2018-10-24,KQ,Yes
AWEEK,2019-01-31,Illusion,Yes
B.A.P,2012-01-27,TS,No
B.Heart,2017-01-25,Poong,Yes
B.I.G,2014-07-09,GH,Yes
B.O.Y,2020-01-20,Music Works,Yes
B1A4,2010-04-19,WM,Yes
BAE173,2020-11-19,PocketDol,Yes
Be.A,2017-05-25,Chrome,Yes
Beatwin,2014-01-06,Elen,Hiatus
BIGBANG,2006-08-19,YG,Yes
Bigflo,2014-07-19,HO,Yes
BIGSTAR,2012-07-12,Brave,No
Black Level,2022-02-26,VT,Hiatus
BLACK6IX,2017-04-07,BLACK HOLE,Yes
Blanc7,2017-03-03,Jackpot,No
BLANK2Y,2022-05-24,Keystone,Yes
BLITZERS,2021-05-12,Wuzo,Yes
BLK,2017-11-28,Byking,No
Block B,2011-04-15,KQ,Yes
Boyfriend,2011-05-26,Starship,No
BOYNEXTDOOR,2023-05-30,KOZ,Yes
Boys Republic,2013-06-03,"Happy Tribe, Universal",Hiatus
BtoB,2012-03-21,Cube,Yes
BTS,2013-06-13,Big Hit,Yes
BXB,2023-01-30,Wolfburn,Yes
BXK,2020-11-02,New Planet,Yes
C-Clown,2012-06-19,Yedang,No
Catch The Young,2023-11-01,Evermore,Yes
CICI,2019-06-27,UPVOTE,No
Ciipher,2021-03-15,Rain,Yes
CIX,2019-07-23,C9,Yes
CMDM,2023-04-27,Command the M,Yes
CNBLUE,2010-01-14,FNC,Yes
CRAVITY,2020-04-14,Starship,Yes
CROSS GENE,2012-07-08,Amuse,Yes
D-Crunch,2018-08-06,All-S,Yes
D.COY,2020-02-19,Rolling,Yes
D1CE,2019-08-01,Happyface,Yes
Dalmatian,2010-09-01,Monkey Funch,No
DAY6,2015-09-07,JYP,Yes
DKB,2020-02-03,Brave,Yes
DONGKIZ,2019-04-24,Dongyo,Yes
DRIPPIN,2020-10-26,Woollim,Yes
Dustin,2020-01-06,LPA,Yes
E'LAST,2020-06-09,E Entertainment,Yes
ENHYPEN,2020-11-30,Be:lift,Yes
ENOi,2019-04-19,KITHEWHALE,No
EPEX,2021-06-08,C9,Yes
EVNNE,2023-09-19,Jellyfish,Yes
EXO,2012-04-08,SM,Yes
F.able,2020-06-04,Haerium,Yes
Fantasy Boys,2023-09-21,PocketDol,Yes
Fly to the Sky,1999-11-21,"SM, H2",Yes
FTISLAND,2007-06-07,FNC,Yes
g.o.d.,1999-01-26,"JYP, SidusHQ",Yes
Ghost9,2020-09-23,Maroo,Yes
Golden Child,2017-08-28,Woollim,Yes
GOT7,2014-01-16,JYP,Hiatus
GreatGuys,2017-08-25,DNA,Yes
H.B.Y,2017-08-16,Rainbow,Yes
H.O.T,1996-09-07,SM,No
HALO,2014-07-26,Histar,Yes
HAWW,2023-02-23,Biscuit,Yes
HIGH4,2014-04-08,NAP,No
Highlight,2009-10-14,Around Us,Yes
HISTORY,2013-04-26,LOEN,No
Homme,2010-06-28,Big Hit,No
Honeyst,2017-05-17,FNC,Yes
Hotshot,2014-10-29,Star Crew,No
iKON,2015-09-15,YG,Yes
Imfact,2016-01-27,Star Empire,Yes
Infinite,2010-06-09,Woollim,Yes
INX,2016-08-02,NA,No
IZ,2017-08-31,Music K,Yes
JBJ,2017-10-18,Fave,No
JBJ95,2018-10-30,Hunus,Yes
JJCC,2014-03-13,Jackie Chan Group,No
JUST B,2021-06-30,Bluedot,Yes
Jwiiver,2022-02-17,JTG,No
JYJ,2010-09-08,C-JeS,Yes
K-Much,2014-01-07,Chrome,No
Kingdom,2021-02-18,GF,Yes
KNK,2016-03-03,YNB,Yes
Limitless,2019-07-09,ONO,Yes
LU:KUS,2014-07-04,JWK,Yes
Lucente,2018-09-18,NOGA,Yes
LUMINOUS,2021-09-09,Barunson,Yes
LUN8,2023-06-15,Fantagio,Yes
M.I.B,2011-10-26,Jungle,No
M.O.N.T,2019-01-04,FM,Yes
Madtown,2014-10-06,GNI,No
MAP6,2015-11-10,DreamT,Yes
Masc,2016-08-19,JJ Holic,Yes
MBLAQ,2009-10-14,J. Tune,Yes
MCND,2020-02-27,TOP Media,Yes
Mfect,2015-04-27,Midas,Yes
MIRAE,2021-03-17,DSP,Yes
MONSTA X,2014-05-14,Starship,Yes
MR.MR,2012-10-04,WinningIn,Yes
MustB,2019-01-21,MustM,Yes
MVP,2017-03-13,PH,Yes
MXM,2017-09-06,Brand New,Yes
MY.st,2020-03-26,MYStar,No
MYNAME,2011-10-27,H2,Yes
Myteen,2017-07-26,The Music Works,No
N-Sonic,2011-10-05,C2K,No
N-Train,2011-05-27,MediaLine,No
N.CUS,2019-08-27,Kyuri,Yes
N.Flying,2015-05-20,FNC,Yes
n.SSign,2023-08-09,n.CH,Yes
NCT,2016-04-09,SM,Yes
Newkidd,2019-04-25,J-FLO,Yes
NINE.i,2022-03-30,FirstOne,Yes
Noir,2018-04-09,LUK,Yes
NTB,2018-05-28,High Choice,Yes
NU'EST,2012-03-15,Pledis,Yes
OFF THE CUFF,2020-04-02,Purple,No
ONE PACT,2023-11-30,ARMADA,Yes
Oneus,2019-01-09,RBW,Yes
ONF,2017-08-02,WM,Yes
OnlyOneOf,2019-05-28,RSVP,Yes
P1Harmony,2020-10-28,FNC,Yes
PENTAGON,2016-10-10,Cube,Yes
Phantom,2011-11-25,"Brand New, RBW",No
POW,2023-10-11,GRID,Yes
RAINZ,2017-10-12,(Genie),No
RIIZE,2023-09-04,SM,Yes
Road Boyz,2015-11-17,Coconut,No
ROMEO,2015-11-04,CT,Yes
SECHSKIES,1997-04-15,"DSP, YG",Yes
Seven O'Clock,2017-03-16,"Staro, KDH",No
Seventeen,2015-05-26,Pledis,Yes
SF9,2016-10-05,FNC,Yes
SG Wannabe,2004-01-20,B2M,Yes
SHINee,2008-05-25,SM,Yes
Shinhwa,1998-03-24,"SM, Good, Shinhwa",Yes
SIGMA,2021-01-26,Pluswin,Yes
Signal,2019-08-28,J-Star,Yes
SKYE,2017-10-26,MMO,Yes
Snuper,2015-11-16,Widmay,No
Spectrum,2018-05-09,WYNN,No
Speed,2013-01-15,MBK,No
SS501,2005-06-08,"DSP, CI",No
Stray Kids,2018-03-25,JYP,Yes
Super Junior,2005-11-06,SM,Yes
SUPERKIND,2022-06-20,Deep Studio,Yes
SuperM,2019-10-04,SM,Yes
Supernova,2007-09-21,CJ E&M,Yes
Target,2018-01-23,TNS,Yes
Teen Top,2010-07-09,TOP Media,Yes
TEMPEST,2022-03-02,Yuehua,Yes
TFN,2021-01-11,MLD,Yes
The Boyz,2017-12-31,Cre.Ker,Yes
The Eastlight,2016-11-03,MediaLine,No
The Legend,2014-07-09,SS,No
THE MAN BLK,2018-11-15,Stardium,Yes
The Wind,2023-05-15,With US,Yes
TNX,2022-05-17,P NATION,Yes
TOO,2020-04-01,n.CH,Yes
ToppDogg,2013-10-22,"Stardom, Hunus",No
TRAX,2004-07-20,SM,No
TRCNG,2017-10-10,TS,No
Treasure,2020-08-07,YG,Yes
TREI,2019-02-19,Banana,No
TRENDZ,2022-01-05,Interpark,Yes
TST,2017-01-04,JSL,Yes
Turbo,1995-09-06,"MBK, Turbo Co.",Hiatus
TVXQ!,2003-12-26,SM,Yes
TWS,2024-01-22,Pledis,Yes
TXT,2019-03-04,Big Hit,Yes
U-KISS,2008-08-28,NH Media,Yes
UNB,2018-04-07,Unit Culture,No
UNIQ,2014-10-20,Yuehua,Hiatus
UNVS,2020-02-23,CHITWN,Yes
UP10TION,2015-09-10,TOP Media,Yes
VANNER,2019-02-14,VT,Yes
Varsity,2017-01-05,GKC,Yes
VAV,2015-10-31,A team,Yes
Verivery,2019-09-01,Jellyfish,Yes
VERMUDA,2017-07-13,JJJ,Yes
VICTON,2016-11-09,Plan A,Yes
VIXX,2012-05-24,Jellyfish,Yes
VOISPER,2016-02-23,Evermore,Yes
VROMANCE,2016-06-12,RBW,Yes
Wanna One,2017-08-07,YMC,No
We In The Zone,2019-05-27,Choon,No
WE:A,2023-03-29,Madewell,Yes
Wei,2020-10-05,OUI,Yes
WEUS,2023-04-03,WEUS,Yes
WINNER,2014-08-12,YG,Yes
WOW,2021-03-08,A.CONIC,Yes
Xdinary Heroes,2021-12-06,JYP,Yes
XEED,2022-12-01,Nature Space,Yes
XENEX,2020-02-26,GiEok,Yes
xikers,2023-03-30,KQ,Yes
XODIAC,2023-03-25,One Cool Jacso,Yes
YOUNITE,2022-04-20,Brand New,Yes
ZE:A,2010-01-07,Star Empire,Hiatus
ZEROBASEONE,2023-07-10,WakeOne,Yes
