stage_name,full_name,birth_date,group_name,country
Zuho,Bae Juho,1996-07-04,SF9,South Korea
Ziu,Park Heejun,1997-06-16,VAV,South Korea
Zico,Woo Jiho,1992-09-14,Block B,South Korea
Zhou Mi,Zhou Mi,1986-04-19,Super Junior-M,China
Zhang Hao,Zhang Hao,2000-07-25,ZEROBASEONE,China
Zero,Nasukawa Shota,2003-01-20,T1419,Japan
Zelo,Choi Junhong,1996-10-15,B.A.P,South Korea
Zayyan,Muhammad Rifki Fahri Zayyan,2000-02-23,XODIAC,Indonesia
Z-UK,Jeong Jaewook,1993-01-27,WE:A,South Korea
YY,Kim Moonyong,1991-08-30,UNVS,South Korea
Yuvin,Song Yuvin,1998-04-28,B.O.Y,South Korea
Yuto,Adachi Yuto,1998-01-23,PENTAGON,Japan
Yuta,Nakamoto Yuta,1995-10-26,NCT,Japan
Yunsung,Hwang Yunsung,1996-03-19,Romeo,South Korea
Yunseong,Hwang Yunseong,2000-10-30,DRIPPIN,South Korea
Yunseo,Ji Yunseo,2004-10-15,EVNNE,South Korea
Yunmin,Yun Min,2001-02-26,Newkidd,South Korea
Yunho,Jeong Yunho,1999-03-23,ATEEZ,South Korea
Yungyu,Lee Yungyu,2005-11-07,8TURN,South Korea
Yuku,Amanumu Yuku,2002-05-12,DKB,Japan
Yujun,Jung Yujun,2005-10-05,xikers,South Korea
Yujin,Han Yujin,2007-03-20,ZEROBASEONE,South Korea
Yugyeom,Kim Yugyeom,1997-11-17,GOT7,South Korea
Yubin,Jang Yubin,2004-06-10,Mirae,South Korea
Youngwoong,Cho Youngwoon,1999-05-01,14U,South Korea
Youngseo,Ryu Youngseo,2002-06-13,BAE173,South Korea
Youngmin,Jo Youngmin,1995-04-24,Boyfriend,South Korea
Youngmin,Lim Youngmin,1995-12-25,,South Korea
Youngjae,Yoo Youngjae,1994-01-24,B.A.P,South Korea
Youngjae,Choi Youngjae,1996-09-17,GOT7,South Korea
Youngjae,Choi Youngjae,2005-05-31,TWS,South Korea
Younghoon,Kim Younghoon,1997-08-08,The Boyz,South Korea
Youngho,Noh Youngho,1993-03-24,SIGNAL,South Korea
Youngbin,Kim Youngbin,1993-11-23,SF9,South Korea
Youngbin,Jeong Youngbin,1998-10-05,Luminous,South Korea
Youngbin,Lee Youngbin,2001-11-23,BLANK2Y,South Korea
Young K,Kang Young-hyun,1993-12-19,DAY6,South Korea
You,Kim Taeyou,1999-11-17,ABLUE,South Korea
Yoshi,Kanemoto Yoshinori,2000-05-15,Treasure,Japan
Yoseob,Yang Yoseob,1990-01-05,Highlight,South Korea
Yorch,Yongsin Wongpanitnont,2002-04-11,POW,Thailand
Yoosung,Jeong Yoosung,1992-10-08,,South Korea
Yoonwoo,Lee Choonghyun,2000-08-28,TRENDZ,South Korea
Yoonsung,Cho Yoonsung,2003-11-13,8TURN,South Korea
Yoonsan,Yoon Sanghyuk,1994-08-22,HOTSHOT,South Korea
Yoonbin,Ha Yoonbin,2000-12-11,,South Korea
Yoon,Kang Seungyoon,1994-01-21,WINNER,South Korea
