group_name       , debutdate  , company        , members, original_members, fanclub_name, active
(G)I-DLE         , 2018-05-02 , Cube           ,       5,                6,             , Yes
15&              , 2012-10-05 , JYP            ,       2,                2,             , No
2EYES            , 2013-07-20 , SidusHQ        ,       4,                5,             , No
2NE1             , 2009-05-06 , YG             ,       4,                4, Blackjack   , No
3YE              , 2019-05-21 , GH             ,       3,                3,             , Yes
4Minute          , 2009-06-15 , Cube           ,       5,                5, 4nia        , No
4TEN             , 2014-08-26 , Jungle         ,       4,                4,             , No
9Muses           , 2010-08-12 , Star Empire    ,       4,                9, MINE        , No
A.DE             , 2016-07-23 , 2ABLE          ,       6,                7,             , No
ABRY             , 2017-11-15 , withHC         ,       4,                4,             , Yes
ADYA             , 2023-05-09 , Starting House ,       5,                5,             , Yes
aespa            , 2020-11-17 , SM             ,       4,                4, My          , Yes
After School     , 2009-01-15 , Pledis         ,       6,                5, Playgirlz   , No
AiRiSu           , 2018-07-25 , Jang           ,       4,                4,             , No
ALICE            , 2017-07-01 , IOK Company    ,       7,                5,             , Yes
ANS              , 2019-09-16 , ANS            ,       8,                6,             , No
AOA              , 2012-07-30 , FNC            ,       4,                8, ELVIS       , Yes
API              , 2019-04-19 , BRICKWORKS     ,       5,                5,             , Yes
Apink            , 2011-04-19 , Plan A         ,       5,                7, Pink Panda  , Yes
Apple.B          , 2017-08-01 , GH             ,       5,                5,             , No
April            , 2015-08-24 , DSP            ,       6,                6, Fineapple   , No
AREAL            , 2020-08-21 , JZ Factory     ,       4,                4,             , No
Ariaz            , 2019-10-23 , Rising Star    ,       6,                6,             , No
ARTBEAT v        , 2022-11-16 , AB Creative    ,       5,                7,             , Yes
Baby V.O.X       , 1997-07-05 , DR Music       ,       5,                5,             , No
BABYMONSTER      , 2023-11-27 , YG             ,       7,                7,             , Yes
Badkiz           , 2014-03-24 , Zoo            ,       5,                5,             , No
Berry Good       , 2014-05-21 , Asia Bridge    ,       6,                5,             , No
BESTie           , 2013-07-11 , YNB            ,       4,                4, BESTiny     , No
Billlie          , 2021-11-10 , MYSTIC         ,       7,                6,             , Yes
BLACKPINK        , 2016-08-08 , YG             ,       4,                4,             , Yes
BlackSwan        , 2020-10-16 , DR             ,       5,                5,             , Yes
Blady            , 2011-05-16 , Star Planet    ,       5,                4, Hi ade      , No
Blastar          , 2020-07-31 , VH             ,       5,                5,             , No
Bling Bling      , 2020-11-17 , Major9         ,       6,                6,             , Yes
Bloomy           , 2016-02-01 , DS             ,       4,                4,             , Yes
Bob Girls        , 2014-06-10 , Chrome         ,       4,                4,             , No
Bolbbalgan4      , 2016-04-22 , Shofar         ,       1,                2,             , Yes
Bonus Baby       , 2017-01-01 , Maroo          ,       6,                6,             , No
BOTOPASS         , 2020-08-26 , WKS ENE        ,       8,                8,             , Yes
Brave Girls      , 2011-04-08 , Brave          ,       4,                5,             , Yes
Brown Eyed Girls , 2006-03-02 , Mystic         ,       4,                4, Everlasting , Yes
bugAboo          , 2021-10-25 , A team         ,       6,                6,             , No
Bulldok          , 2016-10-20 , Kconic         ,       5,                3,             , No
Bunny.T          , 2023-06-19 , W2             ,       4,                4,             , Yes
Busters          , 2017-11-27 , JTG            ,       5,                5, Bu-Chu      , Yes
BVNDIT           , 2019-04-10 , MNH            ,       5,                5,             , Yes
C-REAL           , 2011-10-11 , NAP            ,       3,                5,             , No
