stage_name , full_name                   , birthdate , group_name      , country    , second_country, birthplace
A-ra       , Choi Eunji                  , 2003-07-25, Girls' World    , South Korea,               , Seoul
Aeji       , Kwon Aeji                   , 1999-10-25, Hashtag         , South Korea,               , Daegu
AhIn       , Lee Ahin                    , 1999-09-27, MOMOLAND        , South Korea,               , Wonju
Ahra       , Go Ahra                     , 2001-02-21, Favorite        , South Korea,               , Yeosu
Ahyeon     , Jung Ahyeon                 , 2007-04-11, BABYMONSTER     , South Korea,               , 
Ahyoon     , Choi Subin                  , 2004-10-23, BOTOPASS        , South Korea,               , 
Ahyoon     , Shin Ahyoon                 , 2003-09-24, Queenz Eye      , South Korea,               , Seoul
Ahyoung    , Cho Jayoung                 , 1991-05-26, Dal Shabet      , South Korea,               , Seoul
Ahyung     , Kang Ahyoung                , 1996-08-27, P.O.P           , South Korea,               , Pohang
Ailee      , Lee Yejin                   , 1989-05-30,                 , South Korea, USA           , Denver
Aini       , Kim Heejung                 , 1991-07-13,                 , South Korea,               , 
Aisha      , Heo Yoorim                  , 2000-07-21, Everglow        , South Korea,               , 
Aki        , Jang Minju                  , 2001-02-12, MAJORS          , South Korea,               , 
AleXa      , Kim Seri                    , 1996-12-06,                 , USA        ,               , 
Alice      , Song Joohee                 , 1990-03-21, Hello Venus     , South Korea,               , Wonju
Alice      , Cheon Jaeyoung              , 2002-02-20, TRACER          , South Korea,               , 
Amber      , Amber Josephine Liu         , 1992-09-18, f(x)            , USA        , Taiwan        , Los Angeles
Andamiro   , Yeon Seongju                , 2003-05-06, Geenius         , South Korea,               , 
Anne       , Lee Seoyoung                , 2000-10-17, GWSN            , South Korea,               , 
Ara        , Lee Yunji                   , 2002-01-23, ILY:1           , South Korea,               , 
Aran       , Jeong Eunah                 , 2004-10-11, FIFTY FIFTY     , South Korea,               , 
Arang      , Son Mnjung                  , 2000-03-08,                 , South Korea,               , 
Arang      , Park Yerim                  , 2001-01-22, Pink Fantasy    , South Korea,               , 
Areum      , Kim Daun                    , 1998-01-31, AREAL           , South Korea,               , 
Ari        , Kim Sunyoung                , 1994-10-23, Tahiti          , South Korea,               , Daegu
Aria       , Baby Gauthami               , 2003-03-12, X:IN            , India      ,               , 
Arie       , Jeon Minjae                 , 2000-04-07, MIXX            , South Korea,               , 
Arin       , Choi Yewon                  , 1999-06-18, Oh My Girl      , South Korea,               , Busan
Asa        , Enami Asa                   , 2006-04-17, BABYMONSTER     , Japan      ,               , 
Ashley     , Ashley Choi                 , 1991-11-09, Ladies' Code    , South Korea, USA           , Incheon
Aurora     , Yang Lan                    , 1997-01-14, NATURE          , China      ,               , 
Ayamy      , Suzuki Ayami                , 2000-07-15, Bling Bling     , Japan      ,               , 
Ayeon      , Son Minji                   , 2002-09-29, Saturday        , South Korea,               , 
Babysoul   , Lee Soojung                 , 1992-07-06, Lovelyz         , South Korea,               , Gwangju
Bada       , Kim Bada                    , 2002-05-28, Hinapia         , South Korea,               , 
Bae        , Bae Jinsol                  , 2004-12-28, NMIXX           , South Korea,               , 
Baekah     , Kim Sua                     , 1999-10-24, XUM             , South Korea,               , 
Bahiyyih   , Huening Bahiyyih            , 2004-07-27, Kep1er          , USA        , South Korea   , 
Bekah      , Rebecca Kim                 , 1989-08-11,                 , South Korea, USA           , Honolulu
Belle      , Jin Hyeonjoo                , 2001-11-03, Cignature       , South Korea,               , Goyang
Belle      , Shim Hyewon                 , 2004-03-20, KISS OF LIFE    , South Korea, USA           , Seattle
Bessie     , Kim Susanna                 , 2004-07-15, Lapillus        , South Korea,               , Changwon
Bian       , Yu Jiwon                    , 2001-02-13, MAJORS          , South Korea,               , 
BIBI       , Kim Hyungseo                , 1998-09-27,                 , South Korea,               , 
Blue       , Jung Gahee                  , 1994-01-18, Pungdeng-E      , South Korea,               , Gwangju
