Music Videos: id, id_artist, name, original name, type, published date, pak (y/n), views, likes, circle streaming score
11444,932,"Coincidence","우연",duplicate,2005-09-30 00:00:00,n,1159834,2589,0
49601,1122,"Dara Dara","달아달아",main,2005-12-01 00:00:00,n,550112,1994,0
49606,1122,"Crazy","미쳐",main,2005-12-01 00:00:00,n,406474,2009,0
74485,384,"Go Back","고백",main,2005-12-03 00:00:00,n,361351,1745,0
11475,934,"We Are The Future","위아더퓨처",duplicate,2005-12-07 00:00:00,n,1607146,9558,0
11477,934,"Git It Up","투지",duplicate,2005-12-11 00:00:00,n,252563,1086,0
49596,1122,"Half","반",duplicate,2005-12-14 00:00:00,n,233485,1602,0
49608,1122,"Joolae","줄래",main,2005-12-23 00:00:00,n,204939,767,0
41242,1182,"Hit Song","히트송",main,2005-12-27 00:00:00,n,752612,2298,0
49603,1122,"Summer Dance","Summer Dance",main,2006-01-02 00:00:00,n,401986,1231,0
49607,1122,"Ari Ari","아리아리",main,2006-01-02 00:00:00,n,301143,902,0
50277,6256,"Dear pine, dear pine, dear green green pine","솔아솔아 푸르른 솔아",main,2006-02-09 00:00:00,n,2315774,8952,0
16639,131,"I\'m Not Laughing","내가 웃는게 아니야",main,2006-02-09 00:00:00,n,7239786,15779,0
16002,206,"White Love","스키장에서",main,2006-02-11 00:00:00,n,127739,210,262
11244,57,"Fly","플라이",main,2006-02-21 00:00:00,n,1690364,11357,0
16003,206,"Cyber Lover","Cyber Lover",main,2006-02-24 00:00:00,n,311768,1176,0
74489,384,"Let\'s Go","Let\'s Go",main,2006-02-25 00:00:00,n,89011,306,0
28344,4310,"It must be love","It must be love",main,2006-02-28 00:00:00,n,290367,1136,0
8551,173,"Brand new","Brand new",duplicate,2006-03-13 00:00:00,n,1071197,3726,0
8536,189,"Miracle","미라클",main,2006-03-19 00:00:00,n,4797267,9786,0
8539,207,"Tri-Angle","Tri-Angle",duplicate,2006-03-22 00:00:00,n,2121562,8355,0
60466,1000,"Street Life","Street Life",main,2006-04-03 00:00:00,n,948844,2675,0
35779,131,"Who\'s Life Is This For","누구를 위한 삶인가",main,2006-04-11 00:00:00,n,1475593,2718,0
14317,349,"Partner for Life","내사람",duplicate,2006-04-16 00:00:00,n,602896,1739,0
11476,934,"Line Up","열맞춰",main,2006-04-17 00:00:00,n,69256,456,0
11170,185,"Snow Prince","Snow Prince",main,2006-04-18 00:00:00,n,4605494,18458,0
11171,185,"Fighter","Fighter",main,2006-04-18 00:00:00,n,2383874,8621,0
11166,185,"Warning","경고",main,2006-05-06 00:00:00,n,1378372,3966,0
14315,349,"I Loved You To Death","죽을 만큼 사랑했어요",duplicate,2006-05-09 00:00:00,n,171576,350,0
19056,413,"Gliding","활주",duplicate,2006-05-14 00:00:00,n,202773,550,0
11472,934,"Candy","캔디",duplicate,2006-05-25 00:00:00,n,2675531,17376,0
11446,932,"Play","Play",main,2006-06-16 00:00:00,n,335661,662,0
8538,189,"U","U",duplicate,2006-06-19 00:00:00,n,4831513,9198,0
3579,375,"Just a feeling","Just a feeling",main,2006-07-02 00:00:00,n,2285242,11436,0
11448,932,"Doll","인형",main,2006-07-03 00:00:00,n,429105,1110,0
75743,397,"Blaze Away","Blaze Away",main,2006-07-07 00:00:00,n,376526,2569,0
