group_name     , debutdate , company                 , members, original_members, fanclub_name   , active
100%           , 2012-09-18, TOP Media               ,       4,                7, Perfection     , Yes
14U            , 2017-04-17, BG                      ,      14,               14,                , No
1TEAM          , 2019-03-27, LiveWorks               ,       5,                5,                , No
1the9          , 2019-02-09, MBK                     ,       9,                9,                , Yes
24K            , 2012-09-06, Choeun                  ,       5,                6, 24U            , Yes
2:00 AM        , 2008-06-21, "JYP, Big Hit"          ,       4,                4, I Am           , No
2:00 PM        , 2008-07-04, JYP                     ,       6,                7, Hottest        , Yes
2Z             , 2020-01-14, Morph                   ,       5,                5,                , Yes
8Eight         , 2007-09-06, Big Hit                 ,       3,                3, Sweet Voice    , No
8TURN          , 2023-01-30, MNH                     ,       8,                8,                , Yes
A-JAX          , 2012-06-01, DSP                     ,       5,                7, A-LIGHT        , No
A.C.E          , 2017-05-23, Beat                    ,       5,                5, Choice         , Yes
A.cian         , 2012-10-10, Wings                   ,       4,                5,                , No
A6P            , 2015-05-20, DS                      ,       6,                6,                , No
AB6IX          , 2019-05-22, Brand New               ,       4,                5, ABNEW          , Yes
ABLUE          , 2022-10-23, J-Star                  ,       7,                6, BLUEVERY       , Yes
AIMERS         , 2022-11-17, Hyper Rhythm            ,       6,                6, AIMING         , Yes
AlphaBat       , 2013-11-14, Simtong                 ,       5,                9,                , Yes
AMPERS&ONE     , 2023-11-15, FNC                     ,       7,                7,                , Yes
ANTARES        , 2023-04-16, J-Star                  ,       6,                6,                , Yes
ARGON          , 2019-03-11, MSH                     ,       6,                6, A-Rang         , Yes
ASTRO          , 2016-02-23, Fantagio                ,       4,                6, AROHA          , Yes
ATBO           , 2022-07-27, IST                     ,       7,                7, BOAT           , Yes
ATEEZ          , 2018-10-24, KQ                      ,       8,                8,                , Yes
AWEEK          , 2019-01-31, Illusion                ,       7,                7,                , Yes
B.A.P          , 2012-01-27, TS                      ,       6,                6, BABY           , No
B.Heart        , 2017-01-25, Poong                   ,       4,                4,                , Yes
B.I.G          , 2014-07-09, GH                      ,       4,                5,                , Yes
B.O.Y          , 2020-01-20, Music Works             ,       2,                2,                , Yes
B1A4           , 2010-04-19, WM                      ,       5,                5, BANA           , Yes
BAE173         , 2020-11-19, PocketDol               ,       9,                9,                , Yes
Be.A           , 2017-05-25, Chrome                  ,       3,                5,                , Yes
Beatwin        , 2014-01-06, Elen                    ,       2,                6,                , Hiatus
BIGBANG        , 2006-08-19, YG                      ,       4,                5, VIP            , Yes
Bigflo         , 2014-07-19, HO                      ,       5,                5,                , Yes
BIGSTAR        , 2012-07-12, Brave                   ,       5,                5,                , No
Black Level    , 2022-02-26, VT                      ,       2,                6, WE.B           , Hiatus
BLACK6IX       , 2017-04-07, BLACK HOLE              ,       6,                6,                , Yes
Blanc7         , 2017-03-03, Jackpot                 ,       7,                7, Prism          , No
BLANK2Y        , 2022-05-24, Keystone                ,       9,                9,                , Yes
BLITZERS       , 2021-05-12, Wuzo                    ,       7,                7,                , Yes
BLK            , 2017-11-28, Byking                  ,       7,                7,                , No
Block B        , 2011-04-15, KQ                      ,       7,                7, BBC            , Yes
Boyfriend      , 2011-05-26, Starship                ,       6,                6, Bestfriend     , No
BOYNEXTDOOR    , 2023-05-30, KOZ                     ,       6,                6,                , Yes
Boys Republic  , 2013-06-03, "Happy Tribe, Universal",       5,                5, Royal Family   , Hiatus
BtoB           , 2012-03-21, Cube                    ,       6,                7, Melody         , Yes
BTS            , 2013-06-13, Big Hit                 ,       7,                7, ARMY           , Yes
BXB            , 2023-01-30, Wolfburn                ,       5,                5,                , Yes
BXK            , 2020-11-02, New Planet              ,       6,                6,                , Yes
C-Clown        , 2012-06-19, Yedang                  ,       6,                6, Crown          , No
Catch The Young, 2023-11-01, Evermore                ,       5,                5,                , Yes
CICI           , 2019-06-27, UPVOTE                  ,       4,                4,                , No
Ciipher        , 2021-03-15, Rain                    ,       7,                7,                , Yes
CIX            , 2019-07-23, C9                      ,       5,                5,                , Yes
CMDM           , 2023-04-27, Command the M           ,       6,                6,                , Yes
CNBLUE         , 2010-01-14, FNC                     ,       4,                4, Boice          , Yes
CRAVITY        , 2020-04-14, Starship                ,       9,                9,                , Yes
CROSS GENE     , 2012-07-08, Amuse                   ,       5,                6, Chromosome     , Yes
D-Crunch       , 2018-08-06, All-S                   ,       9,                9,                , Yes
D.COY          , 2020-02-19, Rolling                 ,       5,                5,                , Yes
D1CE           , 2019-08-01, Happyface               ,       5,                5, Don1y          , Yes
Dalmatian      , 2010-09-01, Monkey Funch            ,       7,                7, Dalmate        , No
DAY6           , 2015-09-07, JYP                     ,       5,                6,                , Yes
DKB            , 2020-02-03, Brave                   ,       9,                9,                , Yes
DONGKIZ        , 2019-04-24, Dongyo                  ,       5,                5,                , Yes
DRIPPIN        , 2020-10-26, Woollim                 ,       7,                7,                , Yes
Dustin         , 2020-01-06, LPA                     ,       7,                7, The Sten       , Yes
E'LAST         , 2020-06-09, E Entertainment         ,       8,                8,                , Yes
ENHYPEN        , 2020-11-30, Be:lift                 ,       7,                7, ENGENE         , Yes
ENOi           , 2019-04-19, KITHEWHALE              ,       7,                7,                , No
EPEX           , 2021-06-08, C9                      ,       8,                8, ZENITH         , Yes
EVNNE          , 2023-09-19, Jellyfish               ,       7,                7,                , Yes
EXO            , 2012-04-08, SM                      ,       9,               12, EXO-L          , Yes
F.able         , 2020-06-04, Haerium                 ,       5,                5,                , Yes
Fantasy Boys   , 2023-09-21, PocketDol               ,      11,               12, Bandi          , Yes
Fly to the Sky , 1999-11-21, "SM, H2"                ,       2,                2, Fly High       , Yes
FTISLAND       , 2007-06-07, FNC                     ,       4,                5, Primadonna     , Yes
g.o.d.         , 1999-01-26, "JYP, SidusHQ"          ,       5,                5, Fan God        , Yes
Ghost9         , 2020-09-23, Maroo                   ,       7,                9,                , Yes
Golden Child   , 2017-08-28, Woollim                 ,      10,               11,                , Yes
GOT7           , 2014-01-16, JYP                     ,       7,                7, I GOT7         , Hiatus
GreatGuys      , 2017-08-25, DNA                     ,       9,                9, Grace          , Yes
H.B.Y          , 2017-08-16, Rainbow                 ,       5,                5,                , Yes
H.O.T          , 1996-09-07, SM                      ,       5,                5, Club H.O.T     , No
HALO           , 2014-07-26, Histar                  ,       6,                6,                , Yes
HAWW           , 2023-02-23, Biscuit                 ,       7,                7,                , Yes
HIGH4          , 2014-04-08, NAP                     ,       4,                4,                , No
Highlight      , 2009-10-14, Around Us               ,       4,                6, B2uty          , Yes
HISTORY        , 2013-04-26, LOEN                    ,       5,                5, Storia         , No
Homme          , 2010-06-28, Big Hit                 ,       2,                2,                , No
Honeyst        , 2017-05-17, FNC                     ,       4,                4,                , Yes
Hotshot        , 2014-10-29, Star Crew               ,       5,                6,                , No
iKON           , 2015-09-15, YG                      ,       6,                7, iKONIC         , Yes
Imfact         , 2016-01-27, Star Empire             ,       5,                5,                , Yes
Infinite       , 2010-06-09, Woollim                 ,       6,                7, Inspirit       , Yes
INX            , 2016-08-02, NA                      ,       5,                5,                , No
IZ             , 2017-08-31, Music K                 ,       4,                4,                , Yes
JBJ            , 2017-10-18, Fave                    ,       6,                6,                , No
JBJ95          , 2018-10-30, Hunus                   ,       2,                2,                , Yes
JJCC           , 2014-03-13, Jackie Chan Group       ,       5,                6,                , No
JUST B         , 2021-06-30, Bluedot                 ,       6,                6, ONLY B         , Yes
Jwiiver        , 2022-02-17, JTG                     ,       7,                7,                , No
JYJ            , 2010-09-08, C-JeS                   ,       3,                3, Cassiopeia     , Yes
K-Much         , 2014-01-07, Chrome                  ,       4,                5,                , No
Kingdom        , 2021-02-18, GF                      ,       7,                8, Kingmakers     , Yes
KNK            , 2016-03-03, YNB                     ,       5,                5, Tinker Bell    , Yes
Limitless      , 2019-07-09, ONO                     ,       4,                4,                , Yes
LU:KUS         , 2014-07-04, JWK                     ,       4,                5,                , Yes
Lucente        , 2018-09-18, NOGA                    ,       7,                7,                , Yes
LUMINOUS       , 2021-09-09, Barunson                ,       4,                4,                , Yes
LUN8           , 2023-06-15, Fantagio                ,       8,                8,                , Yes
M.I.B          , 2011-10-26, Jungle                  ,       4,                4,                , No
M.O.N.T        , 2019-01-04, FM                      ,       3,                3,                , Yes
Madtown        , 2014-10-06, GNI                     ,       7,                7,                , No
MAP6           , 2015-11-10, DreamT                  ,       5,                5,                , Yes
Masc           , 2016-08-19, JJ Holic                ,       4,                8,                , Yes
MBLAQ          , 2009-10-14, J. Tune                 ,       3,                5, A+             , Yes
MCND           , 2020-02-27, TOP Media               ,       5,                5,                , Yes
Mfect          , 2015-04-27, Midas                   ,       5,                5,                , Yes
MIRAE          , 2021-03-17, DSP                     ,       7,                7,                , Yes
MONSTA X       , 2014-05-14, Starship                ,       6,                7, Monbebe        , Yes
MR.MR          , 2012-10-04, WinningIn               ,       6,                5,                , Yes
MustB          , 2019-01-21, MustM                   ,       7,                7,                , Yes
MVP            , 2017-03-13, PH                      ,       6,                7,                , Yes
MXM            , 2017-09-06, Brand New               ,       2,                2,                , Yes
MY.st          , 2020-03-26, MYStar                  ,       5,                5,                , No
MYNAME         , 2011-10-27, H2                      ,       5,                5, MYgirl         , Yes
Myteen         , 2017-07-26, The Music Works         ,       6,                7,                , No
N-Sonic        , 2011-10-05, C2K                     ,       6,                5,                , No
N-Train        , 2011-05-27, MediaLine               ,       5,                5,                , No
N.CUS          , 2019-08-27, Kyuri                   ,      12,               12,                , Yes
N.Flying       , 2015-05-20, FNC                     ,       4,                4, N.Fia          , Yes
n.SSign        , 2023-08-09, n.CH                    ,      10,               10,                , Yes
NCT            , 2016-04-09, SM                      ,      23,               23, NCTzen         , Yes
Newkidd        , 2019-04-25, J-FLO                   ,       7,                7,                , Yes
NINE.i         , 2022-03-30, FirstOne                ,      10,               10,                , Yes
Noir           , 2018-04-09, LUK                     ,       9,                9,                , Yes
NTB            , 2018-05-28, High Choice             ,       6,                6,                , Yes
NU'EST         , 2012-03-15, Pledis                  ,       5,                5, LOΛΕ           , Yes
OFF THE CUFF   , 2020-04-02, Purple                  ,       5,                5,                , No
ONE PACT       , 2023-11-30, ARMADA                  ,       5,                5,                , Yes
Oneus          , 2019-01-09, RBW                     ,       5,                6,                , Yes
ONF            , 2017-08-02, WM                      ,       6,                7,                , Yes
OnlyOneOf      , 2019-05-28, RSVP                    ,       6,                7,                , Yes
P1Harmony      , 2020-10-28, FNC                     ,       6,                6,                , Yes
PENTAGON       , 2016-10-10, Cube                    ,       9,               10,                , Yes
Phantom        , 2011-11-25, "Brand New, RBW"        ,       3,                3,                , No
POW            , 2023-10-11, GRID                    ,       5,                5, POWER          , Yes
RAINZ          , 2017-10-12, (Genie)                 ,       7,                7, Rainzer        , No
RIIZE          , 2023-09-04, SM                      ,       7,                7,                , Yes
Road Boyz      , 2015-11-17, Coconut                 ,       5,                5,                , No
ROMEO          , 2015-11-04, CT                      ,       7,                7,                , Yes
SECHSKIES      , 1997-04-15, "DSP, YG"               ,       5,                6, Yellowkies     , Yes
Seven O'Clock  , 2017-03-16, "Staro, KDH"            ,       5,                6,                , No
Seventeen      , 2015-05-26, Pledis                  ,      13,               13, Carat          , Yes
SF9            , 2016-10-05, FNC                     ,       9,                9, Fantasy        , Yes
SG Wannabe     , 2004-01-20, B2M                     ,       3,                4,                , Yes
SHINee         , 2008-05-25, SM                      ,       4,                5, Shawol         , Yes
Shinhwa        , 1998-03-24, "SM, Good, Shinhwa"     ,       6,                6, Shinhwa Changjo, Yes
SIGMA          , 2021-01-26, Pluswin                 ,       4,                4,                , Yes
Signal         , 2019-08-28, J-Star                  ,       4,                4,                , Yes
SKYE           , 2017-10-26, MMO                     ,       6,                8,                , Yes
Snuper         , 2015-11-16, Widmay                  ,       6,                6, Swing          , No
Spectrum       , 2018-05-09, WYNN                    ,       6,                7,                , No
Speed          , 2013-01-15, MBK                     ,       7,                7,                , No
SS501          , 2005-06-08, "DSP, CI"               ,       5,                5, Triple S       , No
Stray Kids     , 2018-03-25, JYP                     ,       8,                9, STAY           , Yes
Super Junior   , 2005-11-06, SM                      ,      11,               12, ELF            , Yes
SUPERKIND      , 2022-06-20, Deep Studio             ,       7,                7, Players        , Yes
SuperM         , 2019-10-04, SM                      ,       7,                7,                , Yes
