stage_name  , full_name                  , birthdate  , group_name     , country    , second_country      , birthplace
2Soul       , Kim Younghoon              , 1997-09-10 , 7 O'clock      , South Korea,                     , 
A-min       , Cho Minwoo                 , 2004-05-22 , EPEX           , South Korea,                     , Namyangju
A.M         , Seong Hyunwoo              , 1996-12-31 , Limitless      , South Korea,                     , 
Ace         , Jang Wooyoung              , 1992-08-28 , VAV            , South Korea,                     , 
Ahxian      , Park Sungkook              , 1996-03-27 , VANNER         , South Korea,                     , Gyeonggi
Alex        , Alexander Schmidt Lee      , 2004-10-06 , DRIPPIN        , Germany    , South Korea         , 
Allen       , Allen Ma                   , 1999-04-26 , CRAVITY        , USA        , South Korea         , 
Andy        , Lee Sunho                  , 1981-01-21 , Shinhwa        , South Korea,                     , Seoul
Andy        , Lui Chunyeung              , 1994-10-06 , 7 O'clock      , Hong Kong  ,                     , 
Anthony     , Anthony Lo                 , 1998-03-12 , VARSITY        , China      , USA                 , 
Anton       , Anton Chanyoung Lee        , 2004-03-21 , RIIZE          , USA        , South Korea         , 
Aron        , Kwak Youngmin              , 1993-05-21 , NU'EST         , South Korea, USA                 , California
Arthur      , Jang Yunho                 , 2000-04-15 , Kingdom        , South Korea,                     , 
Asahi       , Hanada Asahi               , 2001-08-20 , Treasure       , Japan      ,                     , 
Ayden       , Kwon Yejun                 , 2005-01-24 , EPEX           , South Korea,                     , 
Ayno        , Noh Yoonho                 , 1996-05-01 , VAV            , South Korea,                     , 
B-Bomb      , Lee Minhyuk                , 1990-12-14 , Block B        , South Korea,                     , Seoul
B-Joo       , Kim Byungjoo               , 1994-01-08 , Topp Dogg      , South Korea,                     , Seoul
B.I         , Kim Hanbin                 , 1996-10-22 ,                , South Korea,                     , Goyang
B.S         , Lee Youngsoo               , 1995-04-14 , 14U            , South Korea,                     , 
Baek Seung  , Kim Hyunwoo                , 2004-10-05 , EPEX           , South Korea,                     , Seoul
Baekgyeul   , Baek Sunwoo                , 1999-12-01 , E'LAST         , South Korea,                     , 
Baekho      , Kang Dongho                , 1995-07-21 , NU'EST         , South Korea,                     , Jeju
Baekhyun    , Byun Baekhyun              , 1992-05-06 , EXO            , South Korea,                     , Wonmi
Bain        , Song Byeonghee             , 2001-05-04 , JUST B         , South Korea,                     , 
BamBam      , Kunpimook Bhuwakul         , 1997-05-02 , GOT7           , Thailand   ,                     , Bangkok
Bang Chan   , Bang Chan                  , 1997-10-03 , Stray Kids     , Australia  , South Korea         , Sydney
Bao         , Bae Sungyeob               , 1996-05-12 , XEED           , South Korea,                     , 
Baro        , Cha Sunwoo                 , 1992-09-05 ,                , South Korea,                     , Gwangju
Baron       , Choi Chunghyeop            , 1992-04-19 ,                , South Korea,                     , 
BC          , Jin Sungho                 , 1994-07-18 , 1TEAM          , South Korea,                     , 
BEL         , Choi Sunghoon              , 2000-05-21 , DUSTIN         , South Korea,                     , 
Benji       , Baek Jaewook               , 1992-05-03 , B.I.G          , USA        , South Korea         , Indianapolis
Beomgyu     , Choi Beomgyu               , 2001-03-13 , TXT            , South Korea,                     , 
Beomsoo     , Kim Beomsoo                , 2000-09-29 , XODIAC         , South Korea,                     , Busan
Bic         , Nam Seungmin               , 2001-04-25 , MCND           , South Korea,                     , 
Bin         , Kwon Soobin                , 1993-10-28 , Hot Blood Youth, South Korea,                     , 
Bit         , No Minjae                  , 2004-07-21 , BAE173         , South Korea,                     , 
Bitsaeon    , Kim Sangyeon               , 1995-06-04 , MONT           , South Korea,                     , 
Bitto       , Lee Changhyun              , 1996-08-24 , UP10TION       , South Korea,                     , Dongducheon
BM          , Matthew Kim                , 1992-10-20 , KARD           , South Korea,                     , 
Bobby       , Kim Jiwon                  , 1995-12-21 , iKON           , South Korea, USA                 , Seoul
Bokeun      , Kim Bokeun                 , 1994-10-12 , SIGNAL         , South Korea,                     , 
Bomin       , Choi Bomin                 , 2000-08-24 , Golden Child   , South Korea,                     , 
Boyul       , Kwon Boyul                 , 2002-01-21 , WEUS           , South Korea,                     , 
Brian       , Brian Ho                   , 2002-08-27 , AMPERS&ONE     , Canada     , China               , Vancouver
Bullet      , Jin Junwoo                 , 1995-12-02 , VARSITY        , South Korea,                     , Seoul
BX          , Lee Byounggon              , 1998-03-05 , CIX            , South Korea,                     , Incheon
Byeongkwan  , Kim Byeongkwan             , 1996-08-13 , A.C.E          , South Korea,                     , Seoul
